"date","indicator","count"
2020-06-10,"CO_GABed_C19_Con",31
2020-06-10,"CO_GABed_C19_Rec",18
2020-06-10,"CO_GABed_C19_Sus",47
2020-06-10,"CO_GABed_NonC19",716
2020-06-10,"CO_GABed_Spare",565
2020-06-10,"CO_IVBed_C19_Con",2
2020-06-10,"CO_IVBed_C19_Rec",1
2020-06-10,"CO_IVBed_C19_Sus",3
2020-06-10,"CO_IVBed_NonC19",12
2020-06-10,"CO_IVBed_Spare",58
2020-06-11,"CO_GABed_C19_Con",28
2020-06-11,"CO_GABed_C19_Rec",16
2020-06-11,"CO_GABed_C19_Sus",62
2020-06-11,"CO_GABed_NonC19",721
2020-06-11,"CO_GABed_Spare",550
2020-06-11,"CO_IVBed_C19_Con",2
2020-06-11,"CO_IVBed_C19_Rec",1
2020-06-11,"CO_IVBed_C19_Sus",1
2020-06-11,"CO_IVBed_NonC19",14
2020-06-11,"CO_IVBed_Spare",58
2020-06-12,"CO_GABed_C19_Con",18
2020-06-12,"CO_GABed_C19_Rec",18
2020-06-12,"CO_GABed_C19_Sus",24
2020-06-12,"CO_GABed_NonC19",789
2020-06-12,"CO_GABed_Spare",528
2020-06-12,"CO_IVBed_C19_Con",2
2020-06-12,"CO_IVBed_C19_Rec",1
2020-06-12,"CO_IVBed_C19_Sus",0
2020-06-12,"CO_IVBed_NonC19",16
2020-06-12,"CO_IVBed_Spare",57
2020-06-13,"CO_GABed_C19_Con",16
2020-06-13,"CO_GABed_C19_Rec",15
2020-06-13,"CO_GABed_C19_Sus",43
2020-06-13,"CO_GABed_NonC19",767
2020-06-13,"CO_GABed_Spare",536
2020-06-13,"CO_IVBed_C19_Con",1
2020-06-13,"CO_IVBed_C19_Rec",1
2020-06-13,"CO_IVBed_C19_Sus",0
2020-06-13,"CO_IVBed_NonC19",13
2020-06-13,"CO_IVBed_Spare",61
2020-06-14,"CO_GABed_C19_Con",16
