"date","health_board","percent_beds_in_use_covid"
2020-05-21,"Cwm Taf University Health Board",0.158590308370044
2020-05-21,"Aneurin Bevan University Health Board",0.0915347556779078
2020-05-21,"Powys Teaching Health Board",0.0563380281690141
2020-05-21,"Velindre University NHS Trust",0.1
2020-05-21,"Wales",0.102540308548892
2020-05-22,"Betsi Cadwaladr University Health Board",0.178857447944474
2020-05-22,"Hywel Dda University Health Board",0.0451541850220264
2020-05-22,"Abertawe Bro Morgannwg University Health Board",0.06775956284153
2020-05-22,"Cardiff and Vale University Health Board",0.11658151416628
2020-05-22,"Cwm Taf University Health Board",0.164737310774711
2020-05-22,"Aneurin Bevan University Health Board",0.088093599449415
2020-05-22,"Powys Teaching Health Board",0.05
2020-05-22,"Velindre University NHS Trust",0.2
2020-05-22,"Wales",0.118091913903432
2020-05-23,"Betsi Cadwaladr University Health Board",0.188568376068376
2020-05-23,"Hywel Dda University Health Board",0.054083885209713
2020-05-23,"Abertawe Bro Morgannwg University Health Board",0.0687285223367698
2020-05-23,"Cardiff and Vale University Health Board",0.105898745935903
2020-05-23,"Cwm Taf University Health Board",0.179982440737489
2020-05-23,"Aneurin Bevan University Health Board",0.0922229869236063
2020-05-23,"Powys Teaching Health Board",0.0571428571428571
2020-05-23,"Velindre University NHS Trust",0.2
2020-05-23,"Wales",0.121760448283913
2020-05-24,"Betsi Cadwaladr University Health Board",0.166666666666667
2020-05-24,"Hywel Dda University Health Board",0.0460157126823793
2020-05-24,"Abertawe Bro Morgannwg University Health Board",0.049438202247191
2020-05-24,"Cardiff and Vale University Health Board",0.106827682303762
2020-05-24,"Cwm Taf University Health Board",0.155399473222125
2020-05-24,"Aneurin Bevan University Health Board",0.0935994494150034
2020-05-24,"Powys Teaching Health Board",0.0571428571428571
2020-05-24,"Velindre University NHS Trust",0.1
2020-05-24,"Wales",0.110955384256015
2020-05-25,"Betsi Cadwaladr University Health Board",0.161583734617442
2020-05-25,"Hywel Dda University Health Board",0.0422222222222222
2020-05-25,"Abertawe Bro Morgannwg University Health Board",0.0392817059483726
2020-05-25,"Cardiff and Vale University Health Board",0.103576405016256
