"","date","health_board","percent_beds_in_use_covid"
"221",2020-04-27,"Wales",0.149724011039558
"222",2020-04-28,"Betsi Cadwaladr University Health Board",0.173553719008264
"223",2020-04-28,"Hywel Dda University Health Board",0.0903553299492386
"224",2020-04-28,"Abertawe Bro Morgannwg University Health Board",0.191441441441441
"225",2020-04-28,"Cardiff and Vale University Health Board",0.143540669856459
"226",2020-04-28,"Cwm Taf University Health Board",0.143697478991597
"227",2020-04-28,"Aneurin Bevan University Health Board",0.157078215901745
"228",2020-04-28,"Powys Teaching Health Board",0.0684931506849315
"229",2020-04-28,"Velindre University NHS Trust",0.0333333333333333
"230",2020-04-28,"Wales",0.149610940815845
"231",2020-04-29,"Betsi Cadwaladr University Health Board",0.166299559471366
"232",2020-04-29,"Hywel Dda University Health Board",0.0975865687303253
"233",2020-04-29,"Abertawe Bro Morgannwg University Health Board",0.184977578475336
"234",2020-04-29,"Cardiff and Vale University Health Board",0.14830736163353
"235",2020-04-29,"Cwm Taf University Health Board",0.15008576329331
"236",2020-04-29,"Aneurin Bevan University Health Board",0.137685843568197
"237",2020-04-29,"Powys Teaching Health Board",0.0616438356164384
"238",2020-04-29,"Velindre University NHS Trust",0.1
"239",2020-04-29,"Wales",0.146950422066342
"240",2020-04-30,"Betsi Cadwaladr University Health Board",0.168781025923883
"241",2020-04-30,"Hywel Dda University Health Board",0.103882476390346
"242",2020-04-30,"Abertawe Bro Morgannwg University Health Board",0.191256830601093
"243",2020-04-30,"Cardiff and Vale University Health Board",0.124652455977757
"244",2020-04-30,"Cwm Taf University Health Board",0.148117839607201
"245",2020-04-30,"Aneurin Bevan University Health Board",0.14027149321267
"246",2020-04-30,"Powys Teaching Health Board",0.0753424657534247
"247",2020-04-30,"Velindre University NHS Trust",0.133333333333333
"248",2020-04-30,"Wales",0.143670309653916
"249",2020-05-01,"Betsi Cadwaladr University Health Board",0.172642029784887
"250",2020-05-01,"Hywel Dda University Health Board",0.0918141592920354
"251",2020-05-01,"Abertawe Bro Morgannwg University Health Board",0.181111111111111
"252",2020-05-01,"Cardiff and Vale University Health Board",0.0653382761816497
"253",2020-05-01,"Cwm Taf University Health Board",0.160583941605839
"254",2020-05-01,"Aneurin Bevan University Health Board",0.138978668390433
"255",2020-05-01,"Powys Teaching Health Board",0.0684931506849315
"256",2020-05-01,"Velindre University NHS Trust",0.1
"257",2020-05-01,"Wales",0.12846171747731
"258",2020-05-02,"Betsi Cadwaladr University Health Board",0.169529085872576
"259",2020-05-02,"Hywel Dda University Health Board",0.0962389380530973
"260",2020-05-02,"Abertawe Bro Morgannwg University Health Board",0.174444444444444
"261",2020-05-02,"Cardiff and Vale University Health Board",0.0699721964782206
"262",2020-05-02,"Cwm Taf University Health Board",0.179744525547445
"263",2020-05-02,"Aneurin Bevan University Health Board",0.134453781512605
"264",2020-05-02,"Powys Teaching Health Board",0.089041095890411
"265",2020-05-02,"Velindre University NHS Trust",0.166666666666667
"266",2020-05-02,"Wales",0.130910784998835
"267",2020-05-03,"Betsi Cadwaladr University Health Board",0.171001660210293
"268",2020-05-03,"Hywel Dda University Health Board",0.0973451327433628
"269",2020-05-03,"Abertawe Bro Morgannwg University Health Board",0.174444444444444
"270",2020-05-03,"Cardiff and Vale University Health Board",0.0529493729679517
"271",2020-05-03,"Cwm Taf University Health Board",0.152842497670084
"272",2020-05-03,"Aneurin Bevan University Health Board",0.131868131868132
"273",2020-05-03,"Powys Teaching Health Board",0.089041095890411
"274",2020-05-03,"Velindre University NHS Trust",0.1
"275",2020-05-03,"Wales",0.122897196261682
"276",2020-05-04,"Betsi Cadwaladr University Health Board",0.166574738003309
"277",2020-05-04,"Hywel Dda University Health Board",0.0915789473684211
"278",2020-05-04,"Abertawe Bro Morgannwg University Health Board",0.163616792249731
"279",2020-05-04,"Cardiff and Vale University Health Board",0.0645610775661867
"280",2020-05-04,"Cwm Taf University Health Board",0.155493482309125
"281",2020-05-04,"Aneurin Bevan University Health Board",0.131868131868132
"282",2020-05-04,"Powys Teaching Health Board",0.0684931506849315
"283",2020-05-04,"Velindre University NHS Trust",0.2
"284",2020-05-04,"Wales",0.123466790094885
"285",2020-05-05,"Betsi Cadwaladr University Health Board",0.166666666666667
"286",2020-05-05,"Hywel Dda University Health Board",0.0926315789473684
"287",2020-05-05,"Abertawe Bro Morgannwg University Health Board",0.149784482758621
"288",2020-05-05,"Cardiff and Vale University Health Board",0.0654900139340455
"289",2020-05-05,"Cwm Taf University Health Board",0.175257731958763
"290",2020-05-05,"Aneurin Bevan University Health Board",0.122171945701357
"291",2020-05-05,"Powys Teaching Health Board",0.0684931506849315
"292",2020-05-05,"Velindre University NHS Trust",0.266666666666667
"293",2020-05-05,"Wales",0.12327815719412
"294",2020-05-06,"Betsi Cadwaladr University Health Board",0.172527472527473
"295",2020-05-06,"Hywel Dda University Health Board",0.0779768177028451
"296",2020-05-06,"Abertawe Bro Morgannwg University Health Board",0.138228941684665
"297",2020-05-06,"Cardiff and Vale University Health Board",0.0627032048304691
"298",2020-05-06,"Cwm Taf University Health Board",0.160403299725023
"299",2020-05-06,"Aneurin Bevan University Health Board",0.117723156532988
"300",2020-05-06,"Powys Teaching Health Board",0.0547945205479452
"301",2020-05-06,"Velindre University NHS Trust",0.133333333333333
"302",2020-05-06,"Wales",0.117769310703152
"303",2020-05-07,"Betsi Cadwaladr University Health Board",0.202098288238542
"304",2020-05-07,"Hywel Dda University Health Board",0.0756302521008403
"305",2020-05-07,"Abertawe Bro Morgannwg University Health Board",0.113390928725702
"306",2020-05-07,"Cardiff and Vale University Health Board",0.0566651184393869
"307",2020-05-07,"Cwm Taf University Health Board",0.156880733944954
"308",2020-05-07,"Aneurin Bevan University Health Board",0.130904183535762
"309",2020-05-07,"Powys Teaching Health Board",0.0821917808219178
"310",2020-05-07,"Velindre University NHS Trust",0.1
"311",2020-05-07,"Wales",0.121653084982538
"312",2020-05-08,"Betsi Cadwaladr University Health Board",0.216039279869067
"313",2020-05-08,"Hywel Dda University Health Board",0.0851970181043663
"314",2020-05-08,"Abertawe Bro Morgannwg University Health Board",0.100431965442765
"315",2020-05-08,"Cardiff and Vale University Health Board",0.0608453320947515
"316",2020-05-08,"Cwm Taf University Health Board",0.174418604651163
"317",2020-05-08,"Aneurin Bevan University Health Board",0.130904183535762
"318",2020-05-08,"Powys Teaching Health Board",0.10958904109589
"319",2020-05-08,"Velindre University NHS Trust",0.133333333333333
"320",2020-05-08,"Wales",0.128549901472122
"321",2020-05-09,"Betsi Cadwaladr University Health Board",0.196846112017401
"322",2020-05-09,"Hywel Dda University Health Board",0.0814814814814815
"323",2020-05-09,"Abertawe Bro Morgannwg University Health Board",0.130151843817787
"324",2020-05-09,"Cardiff and Vale University Health Board",0.0599163957268927
